,Ques,Ans
518,Who are the actors in international law?,sovereign states and international organizations
519,What is an agreement entered into by actors in international law?,A treaty
520,How are different forms of agreements treated under international law compared to treaties?,equally
521,How would you compare the rules of a treaty and a covenant under international law?,the rules are the same
522,In what year did Josip Broz Tito die?,1980
523,During World War II what resistance movement did he lead?,"the Partisans,"
524,For what country is Tito viewed as  unifying figure?,Yugoslavia
525,"In the Non-Aligned Movement, which Egyptian leader did Tito work with?",Gamal Abdel Nasser
526,"In the Non-Aligned Movement, which Indonesian leader did Tito work with?",Sukarno
527,What is the name of the Marshall Islands in its native language?,Aolepān Aorōkin M̧ajeļ
528,Near what major line of latitutde are the Marshall Islands located?,the equator
529,"As of 2011, how many people live in the Marshall Islands?","53,158"
530,What country borders the Marshall Islands on the western side?,the Federated States of Micronesia
531,Which island is home to the capital of the Marshall Islands?,Majuro
532,What is the official name of the Marshall Islands?,Republic of the Marshall Islands
533,In what ocean are the Marshall Islands located?,Pacific Ocean
534,How many people lived in the Marshall Islands in 2011?,"53,158"
535,How many coral atolls comprise the Marshall Islands?,29
536,On what island is the capital of the Marshall Islands?,Majuro
537,What class was slackta in Poland?,noble class
538,Under whos' reign did the szlachta gain institutional privileges?,King Casimir III the Great
539,WHich two kingdoms shared tentative personal unions?,Grand Duchy of Lithuania and the Crown Kingdom of Poland
540,When did the polish-lithuanian commonwealth thrive?,1569–1795
541,What is one leader from the polish-lithuanian common weaith. ,Ducal Prussia
542,During which period was Vigil a poet?,Augustan
543,How many major works of literature is Virgil known for?,three
544,Which major Latin epic is Virgil known for?,Aeneid
545,What is Virgil's full name?,Publius Vergilius Maro
546,Which collection of minor poems are sometimes attributed to Virgil?,Appendix Vergiliana
547,What Country are the Alps located in?,Europe
548,How many kilometres do the Alps stretch?,"1,200 kilometres"
549,How long has it taken for the Alps to form? ,over tens of millions of years
550,What is the highest mountain in the Alps?,Mont Blanc
551,The Alpine region is also known as what? ,"the ""four-thousanders"""
552,What is a gene?,a locus (or region) of DNA that encodes a functional RNA or protein product
553,What is the basis of inheritance of phenotypic traits?,The transmission of genes to an organism's offspring
554,What influence are most biological traits under?,polygenes (many different genes)
555,What is one instantly visible genetic trait?,eye colour or number of limbs
556,What is one invisible genetic trait?,"blood type, risk for specific diseases, or the thousands of basic biochemical processes that comprise life"
557,What is the official name for Guinea-Bissau?,the Republic of Guinea-Bissau
558,Where is Guinea-Bissau located?,West Africa
559,How many square miles is Guinea-Bissau?,"13,948 sq mi"
560,What is the estimated population of Guinea-Bissau?,"1,704,000"
561,How many kilometers does Guinea-Bissau cover?,"36,125"
562,What is the grid plan aligned with rather than the cardinal directions?,Hudson River
563,"In this article, how many degrees north of true west is ""West?""",29
564,Does this article cover east-west or north-south streets?,east-west
565,Which streets have their own linked articles?,Major streets
566,What is the center of the nervous system in all creatures?,The brain
567,What is the most complex organ in an animal's body?,The brain
568,"In people, how many neurons make up the cerebral cortex?",15–33 billion
569,Neurons in the brain interact with each other by fibers called what?,axons
570,A few animals without spines that do not have a brain are what?,"sponges, jellyfish, adult sea squirts"
571,What is a geographical term that roughly encompasses Western Asia?,Near East (French: Proche-Orient)
572,The term near east was originally applies to the maximum extent of what empire?,Ottoman Empire
573,The term Near East has fallen into disuses in what language?,English
574,What has replaced the term Near East?,Middle East
575,What was Zhejiang formerly romanized as?,Chekiang
576,Which province is Zhejiang bordered by to the northwest?,Anhui
577,Which province is Zhejiang bordered by to the west?,Jiangxi
578,Which province is Zhejiang bordered by to the south?,Fujian
579,Which body of water is to the east of Zhejiang?,East China Sea
580,Which government's Ministry of Defence is mentioned here?,British
581,What does MoD stand for?,Ministry of Defence
582,Who sets the defence policy in Great Britain?,Her Majesty's Government
583,For which part of the government is the MoD the headquarters?,British Armed Forces
584,"The term ""high definition"" originally described televisions systems from what year?",1936
585,Earlier television systems were based on what?,mechanical systems with as few as 30 lines of resolution
586,During which entire century were companies and nations trying to achieve true HDTV?,20th
587,"In what century were 4k, 5k, and 8k systems introduced?",21st
588,What is the most current HDTV system development?,8K
589,"In addition to being used to build things, what has wood been used for over thousands of years?",fuel
590,What kind of strong fibers are part of the composite of wood?,cellulose
591,What's the matrix in wood made up of?,lignin
592,What one word describes the function wood provides to a tree or plant?,support
593,"What does wood convey to leaves, roots, and other tissues of a woody plant in addition to water?",nutrients
594,What language family is Somali a part of?,Afro-Asiatic
595,What part of the Afro-Asiatic language family is Somali a part of?,Cushitic
596,What is the majority religion of Somalis?,Sunni Muslim
597,How many people of Somali ethnicity live in Somalia?,12.3 million
598,What country has the second largest Somali population?,Ethiopia
599,In what century did the Middle Ages begin?,5th
600,What century saw the end of the Middle Ages?,15th
601,What event marked the beginning of the Middle Ages?,the collapse of the Western Roman Empire
